Câu Hỏi,Trả lời
"Ngân hàng ACB (Á Châu) nghỉ lễ 30/4 và 1/5 năm 2025 thế nào? Có thông báo chính thức chưa, và ngân hàng có nghỉ theo lịch của cán bộ, công chức không?","Hiện tại thì ngân hàng Á Châu ACB chưa công bố chính thức lịch nghỉ lễ 30/4 và 1/5 năm 2025. Tuy nhiên theo quy định chung của Nhà nước thì các ngân hàng thường sẽ nghỉ theo lịch nghỉ lễ của cán bộ, công chức, viên chức.

Theo Thông báo 6150/TB-BLĐTBXH năm 2024 quy định về đề xuất hoán đổi ngày làm việc dịp nghỉ lễ 30/4 và 01/5 năm 2025 như sau:[...]3. Công chức, viên chức được hoán đổi ngày làm việc từ thứ Sáu ngày 02/5/2025 sang thứ Bảy ngày 26/4/2025. Như vậy, dịp nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 công chức, viên chức được nghỉ 05 ngày liên tục từ thứ Tư ngày 30/4/2025 đến hết Chủ nhật ngày 04/5/2025 (làm bù vào thứ Bảy ngày 26/4/2025).4. Các cơ quan, đơn vị thực hiện lịch nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 lưu ý thực hiện: bố trí, sắp xếp các bộ phận ứng trực theo quy định và làm việc hợp lý để giải quyết công việc liên tục, bảo đảm tốt công tác phục vụ tổ chức, Nhân dân, trong đó lưu ý cử cán bộ, công chức ứng trực xử lý những công việc đột xuất, bất ngờ có thể xảy ra trong thời gian nghỉ Tết, nghỉ lễ theo quy định.[...]Theo quy đinh thì Công chức, viên chức được hoán đổi ngày làm việc từ thứ Sáu ngày 02/5/2025 sang thứ Bảy ngày 26/4/2025. Như vậy, dịp nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 công chức, viên chức được nghỉ 05 ngày liên tục từ thứ Tư ngày 30/4/2025 đến hết Chủ nhật ngày 04/5/2025 (làm bù vào thứ Bảy ngày 26/4/2025).

Tuy nhiên để biết chính xác lịch nghỉ lễ của ngân hàng Á Châu ACB thì khách hàng nên theo dõi thông báo được đăng tải trên website chính thức của ngân hàng Á Châu ACB hoặc tại các chi nhánh và phòng giao dịch.

Đang cập nhập lịch nghỉ lễ 30/4-1/5 năm 2025 của ngân hàng Á Châu ACB.

Lịch nghỉ lễ 30/4-1/5 năm 2025 của ngân hàng Á Châu ACB? (Hình từ Internet)"
Ngân hàng VietinBank sẽ nghỉ Tết Nguyên đán năm 2025 trong khoảng thời gian nào và theo quy định nào?,"Lịch nghỉ Tết ngân hàng Vietinbank 2025 như thế nào?Theo Thông báo 6150/TB-BLĐTBXH năm 2024, lịch nghỉ Tết Nguyên đán 2025 chi tiết như sau:- Đối với cán bộ, công chức, viên chức và người lao động của các cơ quan hành chính, sự nghiệp, tổ chức chính trị, tổ chức chính trị - xã hội được nghỉ 09 ngày từ thứ Bảy ngày 25/1 (26 tháng Chạp năm Giáp Thìn) đến hết Chủ nhật ngày 2/2 (mùng 5 tháng Giêng năm Ất Tỵ). Đợt nghỉ này bao gồm 05 ngày nghỉ tết Âm lịch và 04 ngày nghỉ hằng tuần.- Đối với các doanh nghiệp không thuộc đối tượng nêu trên, Bộ LĐTB&XH yêu cầu người sử dụng lao động quyết định lựa chọn 1 trong 3 phương án nghỉ Tết:- 01 ngày cuối năm Giáp Thìn và 04 ngày đầu năm Ất Tỵ.- 02 ngày cuối năm Giáp Thìn và 03 ngày đầu năm Ất Tỵ.- 03 ngày cuối năm Giáp Thìn và 02 ngày đầu năm Ất Tỵ.Trong đó, lịch nghỉ Tết ngân hàng Vietinbank 2025 vào dịp Tết Nguyên đán chi tiết như sau:Ngân hàng TMCP Công Thương Việt Nam (VietinBank) thực hiện nghỉ làm việc theo quy định của Nhà nước 9 ngày, kể từ ngày 25/1/2025 (tức ngày 26 tháng Chạp năm Giáp Thìn) đến hết ngày 2/2/2025 (tức ngày 5 tháng Giêng năm Ất Tỵ)."
Ngân hàng OCB (Ngân hàng TMCP Phương Đông) nghỉ Tết Âm lịch năm 2025 vào ngày nào và lịch khai trương trở lại ra sao?,"Căn cứ theo Thông báo 6150/TB-BLĐTBXH năm 2024 hướng dẫn nghỉ Tết Âm lịch 2025 đối với cán bộ, công chức, viên chức và người lao động như sau:
- Cán bộ, công chức, viên chức và người lao động của các cơ quan hành chính, sự nghiệp, tổ chức chính trị, tổ chức chính trị - xã hội được nghỉ Tết Âm lịch 2025 từ ngày 25/01/2025 đến hết Chủ nhật ngày 02/02/2025 dương lịch (tức ngày 26 tháng Chạp năm Giáp Thìn đến hết ngày mùng 5 tháng Giêng năm Ất Tỵ).
- Đối với người lao động không thuộc đối tượng trên, người sử dụng lao động quyết định lựa chọn các phương án nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 dưới đây:
  + Nghỉ 01 ngày cuối năm Giáp Thìn và 04 ngày đầu năm Ất Tỵ
  + Nghỉ 02 ngày cuối năm Giáp Thìn và 03 ngày đầu năm Ất Tỵ;
  + Nghỉ 03 ngày cuối năm Giáp Thìn và 02 ngày đầu năm Ất Tỵ.
Khuyến khích người sử dụng lao động áp dụng thời gian nghỉ Tết Âm lịch 2025 cho người lao động như quy định đối với công chức, viên chức.

Theo đó, lịch nghỉ tết Ngân hàng TMCP Phương Đông (OCB Bank) năm 2025 được thông báo như sau:
Thời gian nghỉ Tết: Từ thứ Bảy ngày 25/01/2025.
Thời gian khai xuân: Thứ Hai, ngày 03/02/2025 (Mùng 6 Tết).

Trên đây là thông tin về Lịch nghỉ tết Ngân hàng TMCP Phương Đông (OCB Bank) năm 2025."
Liệu giá chuyển nhượng khoản nợ xấu hoặc tài sản đảm bảo có thể vượt mức dư nợ gốc hay không theo quy định pháp luật hiện hành?,"Căn cứ Điều 196 Luật Các tổ chức tín dụng 2024 quy định về bán nợ xấu và tài sản bảo đảm của khoản nợ xấu như sau:
Điều 196. Bán nợ xấu và tài sản bảo đảm của khoản nợ xấu
Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ bán nợ xấu, tài sản bảo đảm của khoản nợ xấu công khai, minh bạch, theo quy định của pháp luật. Giá bán khoản nợ xấu, tài sản bảo đảm của khoản nợ xấu có thể cao hơn hoặc thấp hơn dư nợ gốc của khoản nợ xấu.

Như vậy, giá bán khoản nợ xấu, tài sản bảo đảm của khoản nợ xấu có thể cao hơn dư nợ gốc của khoản nợ xấu."
"Khi xử lý tài sản đảm bảo của khoản nợ xấu, tiền thu được sẽ được phân chia ưu tiên theo thứ tự nào theo Luật TCTD?","Căn cứ khoản 1 Điều 199 Luật Các tổ chức tín dụng 2024 quy định về thứ tự ưu tiên thanh toán khi xử lý tài sản bảo đảm của khoản nợ xấu như sau:
Điều 199. Thứ tự ưu tiên thanh toán khi xử lý tài sản bảo đảm của khoản nợ xấu
1. Số tiền thu được từ xử lý tài sản bảo đảm của khoản nợ xấu được phân chia theo thứ tự ưu tiên sau đây:
a) Chi phí bảo quản tài sản bảo đảm;
b) Chi phí thu giữ và chi phí xử lý tài sản bảo đảm;
c) Án phí của bản án, quyết định của Tòa án liên quan đến việc xử lý tài sản bảo đảm;
d) Khoản thuế, lệ phí trực tiếp liên quan đến việc chuyển nhượng tài sản bảo đảm đó gồm thuế thu nhập cá nhân, lệ phí trước bạ;
đ) Nghĩa vụ nợ được bảo đảm cho tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ;
e) Nghĩa vụ khác không có bảo đảm theo quy định của pháp luật.[...]

Như vậy, số tiền thu được từ xử lý tài sản bảo đảm của khoản nợ xấu được phân chia theo thứ tự ưu tiên như sau:
- Chi phí bảo quản tài sản bảo đảm;
- Chi phí thu giữ và chi phí xử lý tài sản bảo đảm;
- Án phí của bản án, quyết định của Tòa án liên quan đến việc xử lý tài sản bảo đảm;
- Khoản thuế, lệ phí trực tiếp liên quan đến việc chuyển nhượng tài sản bảo đảm đó gồm thuế thu nhập cá nhân, lệ phí trước bạ;
- Nghĩa vụ nợ được bảo đảm cho tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ;
- Nghĩa vụ khác không có bảo đảm theo quy định của pháp luật."
"Từ ngày 15/10/2025, Ngân hàng Nhà nước có thẩm quyền cho các tổ chức tín dụng vay theo cơ chế vay đặc biệt với lãi suất bằng 0%/năm hay không?","Căn cứ tại khoản 1 Điều 193 Luật Các tổ chức tín dụng 2024 được sửa đổi bởi khoản 1 Điều 1 Luật Các tổ chức tín dụng sửa đổi 2025

Điều 193. Thẩm quyền quyết định cho vay, lãi suất và tài sản bảo đảm của khoản vay đặc biệt
1. Ngân hàng Nhà nước quyết định cho vay đặc biệt có tài sản bảo đảm, không có tài sản bảo đảm đối với tổ chức tín dụng trong trường hợp quy định tại khoản 1 Điều 192 của Luật này. Tài sản bảo đảm của khoản vay đặc biệt từ Ngân hàng Nhà nước theo quy định của Thống đốc Ngân hàng Nhà nước. Lãi suất cho vay đặc biệt của Ngân hàng Nhà nước là 0%/năm.[...]

Theo đó, ngân hàng Nhà nước quyết định cho vay đặc biệt có tài sản bảo đảm, không có tài sản bảo đảm đối với tổ chức tín dụng trong trường hợp quy định tại khoản 1 Điều 192 Luật Các tổ chức tín dụng 2024. Tài sản bảo đảm của khoản vay đặc biệt từ Ngân hàng Nhà nước theo quy định của Thống đốc Ngân hàng Nhà nước. Lãi suất cho vay đặc biệt của Ngân hàng Nhà nước là 0%/năm.

Như vậy, từ 15/10/2025, Ngân hàng Nhà nước có quyền quyết định cho vay đặc biệt với lãi suất 0%/năm."
"Khi một tổ chức tín dụng bị rút tiền hàng loạt và cần vay đặc biệt từ NHNN, những loại tài sản nào được ưu tiên dùng làm bảo đảm và theo thứ tự nào?","Căn cứ tại khoản 1 Điều 13 Thông tư 37/2024/TT-NHNN quy định về tài sản bảo đảm cho khoản cho vay đặc biệt như sau:

Điều 13. Tài sản bảo đảm cho khoản cho vay đặc biệt
1. Khoản cho vay đặc biệt phải có tài sản bảo đảm theo thứ tự ưu tiên như sau:
a) Cầm cố: Tín phiếu Ngân hàng Nhà nước; trái phiếu Chính phủ (gồm: tín phiếu Kho bạc, trái phiếu Kho bạc, trái phiếu công trình Trung ương, công trái xây dựng Tổ quốc, trái phiếu Chính phủ do Ngân hàng Phát triển Việt Nam (trước đây là Quỹ Hỗ trợ phát triển) được Thủ tướng Chính phủ chỉ định phát hành); trái phiếu được Chính phủ bảo lãnh thanh toán 100% giá trị gốc, lãi khi đến hạn; trái phiếu Chính quyền địa phương trong Danh mục giấy tờ có giá được sử dụng trong các giao dịch của Ngân hàng Nhà nước;
b) Cầm cố trái phiếu được phát hành bởi ngân hàng thương mại do Nhà nước nắm giữ trên 50% vốn điều lệ (trừ các ngân hàng thương mại đã được mua bắt buộc);
c) Cầm cố trái phiếu được phát hành bởi tổ chức tín dụng không được kiểm soát đặc biệt (trừ ngân hàng thương mại quy định tại điểm b khoản này), trái phiếu được phát hành bởi doanh nghiệp khác.[...]

Như vậy, khoản cho vay đặc biệt phải có tài sản bảo đảm theo thứ tự ưu tiên như sau:
- Cầm cố: Tín phiếu Ngân hàng Nhà nước; trái phiếu Chính phủ (gồm: tín phiếu Kho bạc, trái phiếu Kho bạc, trái phiếu công trình Trung ương, công trái xây dựng Tổ quốc, trái phiếu Chính phủ do Ngân hàng Phát triển Việt Nam (trước đây là Quỹ Hỗ trợ phát triển) được Thủ tướng Chính phủ chỉ định phát hành); trái phiếu được Chính phủ bảo lãnh thanh toán 100% giá trị gốc, lãi khi đến hạn; trái phiếu Chính quyền địa phương trong Danh mục giấy tờ có giá được sử dụng trong các giao dịch của Ngân hàng Nhà nước;
- Cầm cố trái phiếu được phát hành bởi ngân hàng thương mại do Nhà nước nắm giữ trên 50% vốn điều lệ (trừ các ngân hàng thương mại đã được mua bắt buộc);
- Cầm cố trái phiếu được phát hành bởi tổ chức tín dụng không được kiểm soát đặc biệt (trừ ngân hàng thương mại quy định tại điểm b khoản này), trái phiếu được phát hành bởi doanh nghiệp khác."
Trong những tình huống cụ thể nào NHNN được phép cấp khoản vay đặc biệt (bằng nguồn phát hành tiền) cho các tổ chức tín dụng?,"Căn cứ tại khoản 1 Điều 4 Thông tư 37/2024/TT-NHNN quy định về Ngân hàng Nhà nước cho vay đặc biệt bằng nguồn tiền từ thực hiện chức năng của ngân hàng trung ương về phát hành tiền trong các trường hợp sau:

- Cho vay đặc biệt đối với tổ chức tín dụng bị rút tiền hàng loạt là ngân hàng thương mại, ngân hàng hợp tác xã, quỹ tín dụng nhân dân, tổ chức tài chính vi mô để chi trả tiền gửi cho người gửi tiền;
- Cho vay đặc biệt đối với tổ chức tín dụng được kiểm soát đặc biệt là ngân hàng thương mại, ngân hàng hợp tác xã, công ty tài chính, tổ chức tài chính vi mô để thực hiện phương án phục hồi đã được phê duyệt;
- Cho vay đặc biệt đối với ngân hàng thương mại được kiểm soát đặc biệt để thực hiện phương án chuyển giao bắt buộc theo Luật Các tổ chức tín dụng 2024 đã được phê duyệt;
- Cho vay đặc biệt đối với ngân hàng thương mại được kiểm soát đặc biệt để hỗ trợ phục hồi theo phương án chuyển giao bắt buộc theo Luật Các tổ chức tín dụng 2010 đã được phê duyệt.

Lưu ý: Luật Các tổ chức tín dụng sửa đổi 2025 có hiệu lực thi hành từ ngày 15/10/2025."
"Theo quy định pháp luật hiện hành, cơ quan nào chịu trách nhiệm thống nhất quản lý toàn quốc về hoạt động của hệ thống ngân hàng?","Căn cứ theo khoản 1 Điều 206 Luật Các tổ chức tín dụng 2024 quy định về trách nhiệm của cơ quan quản lý nhà nước như sau:
Điều 206. Trách nhiệm của cơ quan quản lý nhà nước
1. Chính phủ thống nhất quản lý nhà nước về hoạt động ngân hàng trong phạm vi cả nước.
2. Ngân hàng Nhà nước là cơ quan đầu mối giúp Chính phủ thống nhất quản lý nhà nước về tổ chức, hoạt động của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài.
3. Bộ Tài chính có trách nhiệm quản lý nhà nước trong hoạt động về chứng khoán và thị trường chứng khoán, hoạt động đại lý bảo hiểm đối với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, công ty con, công ty liên kết của tổ chức tín dụng theo quy định của Luật Chứng khoán, Luật Kinh doanh bảo hiểm và quy định khác của pháp luật có liên quan.
4. Bộ, cơ quan ngang Bộ, trong phạm vi nhiệm vụ, quyền hạn của mình, có trách nhiệm quản lý nhà nước đối với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài theo quy định của pháp luật.
5. Ủy ban nhân dân các cấp thực hiện việc quản lý nhà nước đối với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài hoạt động tại địa phương theo quy định của pháp luật.

Như vậy, Chính phủ là cơ quan thống nhất quản lý nhà nước về hoạt động ngân hàng trong phạm vi cả nước."
Những bên bị thanh tra hoặc giám sát trong hoạt động ngân hàng được trao những quyền gì và có những nghĩa vụ cụ thể nào theo luật?,"Căn cứ theo quy định tại Điều 208 Luật Các tổ chức tín dụng 2024, đối tượng thanh tra, giám sát hoạt động ngân hàng có các quyền, nghĩa vụ dưới đây:
- Cung cấp kịp thời, đầy đủ, chính xác thông tin, tài liệu theo yêu cầu của Ngân hàng Nhà nước, cơ quan quản lý nhà nước có thẩm quyền khác trong quá trình kiểm tra, thanh tra, giám sát.
- Chịu trách nhiệm về tính chính xác, trung thực của thông tin, tài liệu đã cung cấp.
- Bảo đảm khả năng kết nối, truy cập dữ liệu trực tuyến phục vụ hoạt động giám sát của Ngân hàng Nhà nước theo quy định của Thống đốc Ngân hàng Nhà nước.
- Báo cáo, giải trình đối với kiến nghị, khuyến nghị, cảnh báo rủi ro và an toàn hoạt động của Ngân hàng Nhà nước.
- Thực hiện kiến nghị, khuyến nghị, cảnh báo rủi ro và an toàn hoạt động của Ngân hàng Nhà nước.
- Thực hiện kết luận thanh tra, quyết định xử lý của Ngân hàng Nhà nước, Thanh tra Chính phủ và cơ quan khác theo quy định của pháp luật.
- Quyền, nghĩa vụ khác theo quy định của pháp luật."
"Theo quy định của pháp luật, nhiệm vụ và quyền hạn của Bộ Công an trong công tác phòng, chống rửa tiền gồm những gì (tham chiếu Điều 49 Luật Phòng, chống rửa tiền 2022)?","Căn cứ theo Điều 49 Luật Phòng, chống rửa tiền 2022, trách nhiệm của Bộ Công an trong phòng chống rửa tiền như sau:
- Thu thập, tiếp nhận, xử lý thông tin đấu tranh phòng, chống tội phạm rửa tiền.
- Thông báo kết quả xử lý thông tin có liên quan đến giao dịch đáng ngờ cho Ngân hàng Nhà nước Việt Nam.
- Chủ trì, phối hợp với cơ quan, tổ chức và cá nhân có liên quan trong phòng ngừa, phát hiện, điều tra và xử lý tội phạm về rửa tiền.
- Trao đổi thông tin, tài liệu về phương thức, thủ đoạn hoạt động mới của tội phạm rửa tiền trong nước và nước ngoài với Ngân hàng Nhà nước Việt Nam.
- Chủ trì lập danh sách tổ chức, cá nhân có liên quan đến khủng bố, tài trợ khủng bố.
- Thực hiện tương trợ tư pháp trong phòng, chống rửa tiền thuộc phạm vi chức năng, nhiệm vụ của mình.
- Phối hợp với Ngân hàng Nhà nước Việt Nam thực hiện đánh giá rủi ro quốc gia về rửa tiền quy định tại khoản 1 Điều 7 Luật Phòng, chống rửa tiền 2022; thực hiện đánh giá, cập nhật rủi ro về rửa tiền đối với các loại tội phạm nguồn có rủi ro cao quy định tại khoản 2 Điều 7 Luật Phòng, chống rửa tiền 2022."
"Luật quy định những nhiệm vụ gì cho Bộ Tài chính trong việc phòng, chống rửa tiền (tham chiếu Điều 51 Luật Phòng, chống rửa tiền 2022)?","Căn cứ theo Điều 51 Luật Phòng, chống rửa tiền 2022, trách nhiệm của Bộ Tài chính trong phòng chống rửa tiền như sau:
- Chủ trì, phối hợp với các cơ quan có liên quan triển khai các biện pháp phòng, chống rửa tiền trong lĩnh vực kinh doanh bảo hiểm nhân thọ, chứng khoán, dịch vụ kế toán, trò chơi điện tử có thưởng, casino, xổ số, đặt cược và dịch vụ khác thuộc phạm vi quản lý nhà nước của Bộ Tài chính.
- Thanh tra, kiểm tra, giám sát hoạt động phòng, chống rửa tiền đối với đối tượng báo cáo thuộc lĩnh vực quy định tại khoản 1 Điều 51 Luật Phòng, chống rửa tiền 2022, trong đó có căn cứ vào kết quả đánh giá rủi ro quốc gia về rửa tiền, kết quả đánh giá rủi ro về rửa tiền của đối tượng báo cáo đó.
- Phối hợp với Ngân hàng Nhà nước Việt Nam thực hiện đánh giá rủi ro quốc gia về rửa tiền quy định tại khoản 1 Điều 7 Luật Phòng, chống rửa tiền 2022; thực hiện đánh giá, cập nhật rủi ro về rửa tiền quy định tại khoản 2 Điều 7 Luật Phòng, chống rửa tiền 2022 đối với lĩnh vực quy định tại khoản 1 Điều 51 Luật Phòng, chống rửa tiền 2022."
"Từ 01/11/2025, mức ngưỡng giá trị nào của các giao dịch chuyển tiền điện tử nội địa bắt buộc phải thu thập thông tin và gửi báo cáo điện tử tới Cục Phòng, chống rửa tiền?","Căn cứ theo điểm a khoản 1 Điều 9 Thông tư 27/2025/TT-NHNN quy định như sau:
Điều 9. Chế độ báo cáo giao dịch chuyển tiền điện tử
1. Đối tượng báo cáo có trách nhiệm thu thập thông tin tại khoản 3 Điều này và báo cáo Cục Phòng, chống rửa tiền bằng dữ liệu điện tử theo quy định tại khoản 1 Điều 10 Thông tư này khi thực hiện giao dịch chuyển tiền điện tử trong các trường hợp sau đây:
a) Giao dịch chuyển tiền điện tử mà tất cả các tổ chức tài chính tham gia giao dịch chuyển tiền điện tử quy định tại khoản 1 Điều 8 Thông tư này cùng ở Việt Nam (sau đây gọi là giao dịch chuyển tiền điện tử trong nước) có giá trị giao dịch chuyển tiền điện tử từ 500.000.000 (năm trăm triệu) đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương;
b) Giao dịch chuyển tiền điện tử mà có ít nhất một trong các tổ chức tài chính tham gia giao dịch chuyển tiền điện tử quy định tại khoản 1 Điều 8 Thông tư này ở các quốc gia, vùng lãnh thổ ngoài Việt Nam (sau đây gọi là giao dịch chuyển tiền điện tử quốc tế) có giá trị giao dịch chuyển tiền điện tử từ 1.000 (một nghìn) đô la Mỹ trở lên hoặc bằng ngoại tệ khác có giá trị tương đương.
2. Trường hợp đối tượng báo cáo là tổ chức tài chính trung gian trong giao dịch chuyển tiền điện tử không phải thực hiện báo cáo theo quy định tại khoản 1 Điều này.

Theo đó, giao dịch chuyển tiền điện tử trong nước có giá trị giao dịch chuyển tiền điện tử từ 500.000.000 (năm trăm triệu) đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương thì phải được thu thập thông tin và báo cáo Cục Phòng, chống rửa tiền."
Các tổ chức phải báo cáo bằng dữ liệu điện tử khi thực hiện chuyển tiền điện tử nội địa cần đáp ứng những yêu cầu kỹ thuật và nghiệp vụ cụ thể nào trong báo cáo?,"Căn cứ theo khoản 1 Điều 10 Thông tư 27/2025/TT-NHNN quy định hình thức báo cáo dữ liệu điện tử đối với giao dịch chuyển tiền điện tử trong nước bao gồm:
- Đối tượng báo cáo thực hiện báo cáo dữ liệu điện tử đúng định dạng dữ liệu, cấu trúc file qua đường truyền, mạng truyền tin theo hướng dẫn của Cục Phòng, chống rửa tiền;
- Đối tượng báo cáo được phép thực hiện chuyển tiền điện tử phải xây dựng hệ thống công nghệ thông tin phù hợp phục vụ cho việc báo cáo bằng dữ liệu điện tử và phải có hệ thống phần mềm để quét, lọc theo danh sách đen, danh sách cảnh báo, danh sách cá nhân có ảnh hưởng chính trị quy định tại khoản 9, khoản 10 Điều 3 và khoản 1 Điều 17 Luật Phòng, chống rửa tiền 2022 và giám sát giao dịch để phát hiện, cảnh báo dấu hiệu đáng ngờ phù hợp nhằm mục đích phòng, chống rửa tiền, tài trợ khủng bố, tài trợ phổ biến vũ khí hủy diệt hàng loạt."
"Theo Luật Phòng, chống rửa tiền 2022, những biểu hiện nào được coi là dấu hiệu đáng ngờ cơ bản để đối tượng báo cáo cần chú ý và xử lý?","Căn cứ theo Điều 27 Luật Phòng, chống rửa tiền 2022 quy định các dấu hiệu đáng ngờ cơ bản trong phòng chống rửa tiền bao gồm:
- Khách hàng từ chối cung cấp thông tin hoặc cung cấp thông tin nhận biết khách hàng không chính xác, không đầy đủ, không nhất quán.
- Khách hàng thuyết phục đối tượng báo cáo không báo cáo giao dịch cho cơ quan nhà nước có thẩm quyền.
- Không thể xác định được khách hàng theo thông tin khách hàng cung cấp hoặc giao dịch liên quan đến một bên không xác định được danh tính.
- Số điện thoại do khách hàng cung cấp không thể liên lạc được hoặc không tồn tại số điện thoại này sau khi mở tài khoản hoặc thực hiện giao dịch.
- Giao dịch được thực hiện theo lệnh hoặc theo ủy quyền của tổ chức, cá nhân có trong Danh sách cảnh báo.
- Giao dịch mà qua thông tin nhận biết khách hàng hoặc qua xem xét về cơ sở kinh tế và pháp lý của giao dịch có thể xác định được mối liên hệ giữa các bên tham gia giao dịch với các hoạt động phạm tội hoặc có liên quan đến tổ chức, cá nhân có trong Danh sách cảnh báo.
- Tổ chức, cá nhân tham gia giao dịch với số tiền lớn không phù hợp với hoạt động kinh doanh, thu nhập của tổ chức, cá nhân này.
- Khách hàng yêu cầu đối tượng báo cáo thực hiện giao dịch không đúng trình tự, thủ tục theo quy định của pháp luật."
"Từ ngày 1/11/2025, cơ chế nào được áp dụng để đánh giá mức độ rủi ro rửa tiền của các đối tượng báo cáo?","Theo Điều 3 Thông tư 27/2025/TT-NHNN có hiệu lực từ 1/11/2025 quy định tiêu chí, phương pháp đánh giá rủi ro về rửa tiền của đối tượng báo cáo như sau:Điều 3. Tiêu chí, phương pháp đánh giá rủi ro về rửa tiền của đối tượng báo cáo[...]4. Phương pháp đánh giá rủi ro về rửa tiền của đối tượng báo cáo là phương pháp chấm điểm. Phương pháp chấm điểm được thực hiện trên cơ sở tính điểm đối với từng tiêu chí quy định tại khoản 2 và khoản 3 Điều này, cụ thể như sau:a) Điểm số của từng tiêu chí quy định tại khoản 2 Điều này được xác định theo thang điểm từ 1 đến 5 theo nguyên tắc điểm số có giá trị càng nhỏ thì nguy cơ rửa tiền càng thấp;b) Điểm số của từng tiêu chí quy định tại khoản 3 Điều này được xác định theo thang điểm từ 1 đến 5 theo nguyên tắc điểm số có giá trị càng nhỏ thì mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền càng cao;c) Trọng số của từng tiêu chí quy định tại khoản 2, 3 Điều này là tỷ lệ phần trăm (%) được xác định trên cơ sở tầm quan trọng của từng tiêu chí trong công tác phòng, chống rửa tiền. Đối tượng báo cáo tự xác định trọng số dựa trên quy mô, phạm vi và đặc thù hoạt động;d) Điểm số của nguy cơ rửa tiền được xác định dựa trên việc tính toán tổng điểm từng tiêu chí nguy cơ rửa tiền quy định tại điểm a khoản này sau khi nhân với trọng số quy định tại điểm c khoản này. Nguy cơ rửa tiền thấp nếu điểm số nhỏ hơn hoặc bằng 1; nguy cơ rửa tiền trung bình thấp nếu điểm số lớn hơn 1 và nhỏ hơn hoặc bằng 2; nguy cơ rửa tiền trung bình nếu điểm số lớn hơn 2 và nhỏ hơn hoặc bằng 3; nguy cơ rửa tiền trung bình cao nếu điểm số lớn hơn 3 và nhỏ hơn hoặc bằng 4; nguy cơ rửa tiền cao nếu điểm lớn hơn 4 và nhỏ hơn hoặc bằng 5;đ) Điểm số của mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền được xác định dựa trên việc tính toán tổng điểm từng tiêu chí mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền quy định tại điểm b khoản này sau khi nhân với trọng số quy định tại điểm c khoản này. Mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền cao nếu điểm số nhỏ hơn hoặc bằng 1; mức độ phù hợp của các chính sách, quy định nội bộ về phòng, chống rửa tiền trung bình cao nếu điểm số lớn hơn 1 và nhỏ hơn hoặc bằng 2; mức độ phù hợp của các chính sách, quy định nội bộ về phòng, chống rửa tiền trung bình nếu điểm số lớn hơn 2 và nhỏ hơn hoặc bằng 3; mức độ phù hợp của các chính sách, quy định nội bộ về phòng, chống rửa tiền trung bình thấp nếu điểm số lớn hơn 3 và nhỏ hơn hoặc bằng 4; mức độ phù hợp của các chính sách, quy định nội bộ về phòng, chống rửa tiền thấp nếu điểm số lớn hơn 4 và nhỏ hơn hoặc bằng 5;e) Điểm số rủi ro về rửa tiền được xác định bằng việc tính trung bình cộng điểm số của nguy cơ rửa tiền và điểm số của mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền. Trường hợp điểm số càng nhỏ thì mức độ rủi ro về rửa tiền càng thấp: mức độ rủi ro về rửa tiền thấp nếu điểm số nhỏ hơn hoặc bằng 1; mức độ rủi ro về rửa tiền trung bình thấp nếu điểm số lớn hơn 1 và nhỏ hơn hoặc bằng 2; mức độ rủi ro về rửa tiền trung bình nếu điểm số lớn hơn 2 và nhỏ hơn hoặc bằng 3; mức độ rủi ro về rửa tiền trung bình cao nếu điểm số lớn hơn 3 và nhỏ hơn hoặc bằng 4; mức độ rủi ro về rửa tiền cao nếu điểm số lớn hơn 4 và nhỏ hơn hoặc bằng 5.[...]Như vậy, từ 1/11/2025 phương pháp đánh giá rủi ro về rửa tiền của đối tượng báo cáo là phương pháp chấm điểm."
